Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,
2024,Jawa Timur,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"12,947",,
2024,Jawa Timur,1,DPR,,,,Partai Keadilan Sejahtera,8,"175,596",1,
2024,Jawa Timur,1,DPR,,,,Partai Kebangkitan Nusantara,9,"3,459",,
2024,Jawa Timur,1,DPR,,,,Partai Hati Nurani Rakyat,10,"9,124",,
2024,Jawa Timur,1,DPR,,,,Partai Garda Republik Indonesia ,11,"5,773",,
2024,Jawa Timur,1,DPR,,,,Partai Amanat Nasional,12,"249,335",1,
2024,Jawa Timur,1,DPR,,,,Partai Bulan Bintang,13,"5,418",,
2024,Jawa Timur,1,DPR,,,,Partai Demokrat ,14,"130,189",1,
2024,Jawa Timur,1,DPR,,,,Partai Solidaritas Indonesia ,15,"162,805",,
2024,Jawa Timur,1,DPR,,,,Partai Perindo,16,"66,060",,
2024,Jawa Timur,1,DPR,,,,Partai Persatuan Pembangunan,17,"37,481",,
2024,Jawa Timur,1,DPR,,,,Partai Ummat,24,"15,012",,
2024,Jawa Timur,2,DPR,"2,422,268","1,815,735","310,298",,,,,
2024,Jawa Timur,2,DPR,,,,Partai Kebangkitan Bangsa,1,"528,885",2,
2024,Jawa Timur,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"330,741",1,
2024,Jawa Timur,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"164,196",1,
2024,Jawa Timur,2,DPR,,,,Partai Golongan Karya,4,"170,612",1,
2024,Jawa Timur,2,DPR,,,,Partai Nasdem,5,"177,079",1,
2024,Jawa Timur,2,DPR,,,,Partai Buruh,6,"16,278",,
2024,Jawa Timur,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,358",,
2024,Jawa Timur,2,DPR,,,,Partai Keadilan Sejahtera,8,"82,791",,
2024,Jawa Timur,2,DPR,,,,Partai Kebangkitan Nusantara,9,"1,919",,
2024,Jawa Timur,2,DPR,,,,Partai Hati Nurani Rakyat,10,"10,836",,
2024,Jawa Timur,2,DPR,,,,Partai Garda Republik Indonesia ,11,"3,872",,
2024,Jawa Timur,2,DPR,,,,Partai Amanat Nasional,12,"123,516",1,
2024,Jawa Timur,2,DPR,,,,Partai Bulan Bintang,13,"2,620",,
2024,Jawa Timur,2,DPR,,,,Partai Demokrat ,14,"46,336",,
2024,Jawa Timur,2,DPR,,,,Partai Solidaritas Indonesia ,15,"38,807",,
2024,Jawa Timur,2,DPR,,,,Partai Perindo,16,"25,521",,
2024,Jawa Timur,2,DPR,,,,Partai Persatuan Pembangunan,17,"74,397",,
2024,Jawa Timur,2,DPR,,,,Partai Ummat,24,"3,971",,
2024,Jawa Timur,3,DPR,"2,464,420","1,765,632","242,564",,,,,
2024,Jawa Timur,3,DPR,,,,Partai Kebangkitan Bangsa,1,"368,535",2,
2024,Jawa Timur,3,DPR,,,,Partai Gerakan Indonesia Raya,2,"271,320",1,
2024,Jawa Timur,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"300,958",2,
2024,Jawa Timur,3,DPR,,,,Partai Golongan Karya,4,"274,584",1,
2024,Jawa Timur,3,DPR,,,,Partai Nasdem,5,"80,634",,
2024,Jawa Timur,3,DPR,,,,Partai Buruh,6,"7,328",,
2024,Jawa Timur,3,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"15,920",,
2024,Jawa Timur,3,DPR,,,,Partai Keadilan Sejahtera,8,"47,720",,
2024,Jawa Timur,3,DPR,,,,Partai Kebangkitan Nusantara,9,"2,496",,
2024,Jawa Timur,3,DPR,,,,Partai Hati Nurani Rakyat,10,"7,586",,
2024,Jawa Timur,3,DPR,,,,Partai Garda Republik Indonesia ,11,"4,678",,
2024,Jawa Timur,3,DPR,,,,Partai Amanat Nasional,12,"35,398",,
2024,Jawa Timur,3,DPR,,,,Partai Bulan Bintang,13,"4,247",,
2024,Jawa Timur,3,DPR,,,,Partai Demokrat ,14,"107,611",1,
2024,Jawa Timur,3,DPR,,,,Partai Solidaritas Indonesia ,15,"61,802",,
2024,Jawa Timur,3,DPR,,,,Partai Perindo,16,"15,357",,
2024,Jawa Timur,3,DPR,,,,Partai Persatuan Pembangunan,17,"153,261",,
2024,Jawa Timur,3,DPR,,,,Partai Ummat,24,"6,197",,
2024,Jawa Timur,4,DPR,"2,809,874","1,952,330","233,060",,,,,
2024,Jawa Timur,4,DPR,,,,Partai Kebangkitan Bangsa,1,"364,713",2,
2024,Jawa Timur,4,DPR,,,,Partai Gerakan Indonesia Raya,2,"342,288",2,
2024,Jawa Timur,4,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"289,012",1,
2024,Jawa Timur,4,DPR,,,,Partai Golongan Karya,4,"238,675",1,
2024,Jawa Timur,4,DPR,,,,Partai Nasdem,5,"168,172",1,
2024,Jawa Timur,4,DPR,,,,Partai Buruh,6,"7,056",,
2024,Jawa Timur,4,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"9,683",,
2024,Jawa Timur,4,DPR,,,,Partai Keadilan Sejahtera,8,"135,475",1,
2024,Jawa Timur,4,DPR,,,,Partai Kebangkitan Nusantara,9,"1,816",,
2024,Jawa Timur,4,DPR,,,,Partai Hati Nurani Rakyat,10,"3,425",,
2024,Jawa Timur,4,DPR,,,,Partai Garda Republik Indonesia ,11,"5,047",,
2024,Jawa Timur,4,DPR,,,,Partai Amanat Nasional,12,"112,515",,
2024,Jawa Timur,4,DPR,,,,Partai Bulan Bintang,13,"3,863",,
2024,Jawa Timur,4,DPR,,,,Partai Demokrat ,14,"50,550",,
2024,Jawa Timur,4,DPR,,,,Partai Solidaritas Indonesia ,15,"43,631",,
2024,Jawa Timur,4,DPR,,,,Partai Perindo,16,"59,485",,
2024,Jawa Timur,4,DPR,,,,Partai Persatuan Pembangunan,17,"110,663",,
2024,Jawa Timur,4,DPR,,,,Partai Ummat,24,"6,261",,
2024,Jawa Timur,5,DPR,"2,870,270","2,130,823","237,871",,,,,
2024,Jawa Timur,5,DPR,,,,Partai Kebangkitan Bangsa,1,"425,332",2,
2024,Jawa Timur,5,DPR,,,,Partai Gerakan Indonesia Raya,2,"349,876",2,
2024,Jawa Timur,5,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"418,293",2,
2024,Jawa Timur,5,DPR,,,,Partai Golongan Karya,4,"261,588",1,
2024,Jawa Timur,5,DPR,,,,Partai Nasdem,5,"110,992",,
2024,Jawa Timur,5,DPR,,,,Partai Buruh,6,"10,773",,
2024,Jawa Timur,5,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"18,651",,
2024,Jawa Timur,5,DPR,,,,Partai Keadilan Sejahtera,8,"191,310",1,
2024,Jawa Timur,5,DPR,,,,Partai Kebangkitan Nusantara,9,"2,160",,
2024,Jawa Timur,5,DPR,,,,Partai Hati Nurani Rakyat,10,"5,152",,
2024,Jawa Timur,5,DPR,,,,Partai Garda Republik Indonesia ,11,"4,472",,
2024,Jawa Timur,5,DPR,,,,Partai Amanat Nasional,12,"58,573",,
2024,Jawa Timur,5,DPR,,,,Partai Bulan Bintang,13,"2,918",,
2024,Jawa Timur,5,DPR,,,,Partai Demokrat ,14,"87,228",,
2024,Jawa Timur,5,DPR,,,,Partai Solidaritas Indonesia ,15,"75,347",,
2024,Jawa Timur,5,DPR,,,,Partai Perindo,16,"13,084",,
2024,Jawa Timur,5,DPR,,,,Partai Persatuan Pembangunan,17,"89,288",,
2024,Jawa Timur,5,DPR,,,,Partai Ummat,24,"5,786",,
2024,Jawa Timur,6,DPR,"3,431,669","2,472,394","366,867",,,,,
2024,Jawa Timur,6,DPR,,,,Partai Kebangkitan Bangsa,1,"397,582",2,
2024,Jawa Timur,6,DPR,,,,Partai Gerakan Indonesia Raya,2,"329,383",1,
2024,Jawa Timur,6,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"548,721",2,
2024,Jawa Timur,6,DPR,,,,Partai Golongan Karya,4,"382,448",2,
2024,Jawa Timur,6,DPR,,,,Partai Nasdem,5,"177,389",1,
2024,Jawa Timur,6,DPR,,,,Partai Buruh,6,"8,982",,
2024,Jawa Timur,6,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,197",,
2024,Jawa Timur,6,DPR,,,,Partai Keadilan Sejahtera,8,"67,543",,
2024,Jawa Timur,6,DPR,,,,Partai Kebangkitan Nusantara,9,"6,869",,
2024,Jawa Timur,6,DPR,,,,Partai Hati Nurani Rakyat,10,"9,807",,
2024,Jawa Timur,6,DPR,,,,Partai Garda Republik Indonesia ,11,"5,901",,
2024,Jawa Timur,6,DPR,,,,Partai Amanat Nasional,12,"173,342",1,
2024,Jawa Timur,6,DPR,,,,Partai Bulan Bintang,13,"3,175",,
2024,Jawa Timur,6,DPR,,,,Partai Demokrat ,14,"122,779",,
2024,Jawa Timur,6,DPR,,,,Partai Solidaritas Indonesia ,15,"121,252",,
2024,Jawa Timur,6,DPR,,,,Partai Perindo,16,"24,832",,
2024,Jawa Timur,6,DPR,,,,Partai Persatuan Pembangunan,17,"70,669",,
2024,Jawa Timur,6,DPR,,,,Partai Ummat,24,"8,523",,
2024,Jawa Timur,7,DPR,"3,059,436","2,205,537","289,124",,,,,
2024,Jawa Timur,7,DPR,,,,Partai Kebangkitan Bangsa,1,"286,975",1,
2024,Jawa Timur,7,DPR,,,,Partai Gerakan Indonesia Raya,2,"233,133",1,
2024,Jawa Timur,7,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"444,112",2,
2024,Jawa Timur,7,DPR,,,,Partai Golongan Karya,4,"217,707",1,
2024,Jawa Timur,7,DPR,,,,Partai Nasdem,5,"123,060",,
2024,Jawa Timur,7,DPR,,,,Partai Buruh,6,"6,906",,
2024,Jawa Timur,7,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"31,878",,
2024,Jawa Timur,7,DPR,,,,Partai Keadilan Sejahtera,8,"143,054",1,
2024,Jawa Timur,7,DPR,,,,Partai Kebangkitan Nusantara,9,"1,726",,
2024,Jawa Timur,7,DPR,,,,Partai Hati Nurani Rakyat,10,"10,965",,
2024,Jawa Timur,7,DPR,,,,Partai Garda Republik Indonesia ,11,"4,800",,
2024,Jawa Timur,7,DPR,,,,Partai Amanat Nasional,12,"117,699",,
2024,Jawa Timur,7,DPR,,,,Partai Bulan Bintang,13,"1,970",,
2024,Jawa Timur,7,DPR,,,,Partai Demokrat ,14,"476,618",2,
2024,Jawa Timur,7,DPR,,,,Partai Solidaritas Indonesia ,15,"51,892",,
2024,Jawa Timur,7,DPR,,,,Partai Perindo,16,"16,479",,
2024,Jawa Timur,7,DPR,,,,Partai Persatuan Pembangunan,17,"31,418",,
2024,Jawa Timur,7,DPR,,,,Partai Ummat,24,"5,145",,
2024,Jawa Timur,8,DPR,"3,549,110","2,633,103","419,616",,,,,
2024,Jawa Timur,8,DPR,,,,Partai Kebangkitan Bangsa,1,"522,993",2,
2024,Jawa Timur,8,DPR,,,,Partai Gerakan Indonesia Raya,2,"298,012",1,
2024,Jawa Timur,8,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"327,921",2,
2024,Jawa Timur,8,DPR,,,,Partai Golongan Karya,4,"312,571",1,
2024,Jawa Timur,8,DPR,,,,Partai Nasdem,5,"326,578",1,
2024,Jawa Timur,8,DPR,,,,Partai Buruh,6,"12,061",,
2024,Jawa Timur,8,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,749",,
2024,Jawa Timur,8,DPR,,,,Partai Keadilan Sejahtera,8,"190,067",1,
2024,Jawa Timur,8,DPR,,,,Partai Kebangkitan Nusantara,9,"4,522",,
2024,Jawa Timur,8,DPR,,,,Partai Hati Nurani Rakyat,10,"22,762",,
2024,Jawa Timur,8,DPR,,,,Partai Garda Republik Indonesia ,11,"5,625",,
2024,Jawa Timur,8,DPR,,,,Partai Amanat Nasional,12,"178,046",1,
2024,Jawa Timur,8,DPR,,,,Partai Bulan Bintang,13,"4,126",,
2024,Jawa Timur,8,DPR,,,,Partai Demokrat ,14,"183,272",1,
2024,Jawa Timur,8,DPR,,,,Partai Solidaritas Indonesia ,15,"76,788",,
2024,Jawa Timur,8,DPR,,,,Partai Perindo,16,"30,441",,
2024,Jawa Timur,8,DPR,,,,Partai Persatuan Pembangunan,17,"116,554",,
2024,Jawa Timur,8,DPR,,,,Partai Ummat,24,"7,015",,
2024,Jawa Timur,9,DPR,"1,979,375","1,486,082","206,255",,,,,
2024,Jawa Timur,9,DPR,,,,Partai Kebangkitan Bangsa,1,"376,858",2,
2024,Jawa Timur,9,DPR,,,,Partai Gerakan Indonesia Raya,2,"152,430",1,
2024,Jawa Timur,9,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"151,805",1,
2024,Jawa Timur,9,DPR,,,,Partai Golongan Karya,4,"377,188",2,
2024,Jawa Timur,9,DPR,,,,Partai Nasdem,5,"109,599",,
2024,Jawa Timur,9,DPR,,,,Partai Buruh,6,"5,182",,
2024,Jawa Timur,9,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"6,351",,
2024,Jawa Timur,9,DPR,,,,Partai Keadilan Sejahtera,8,"54,041",,
2024,Jawa Timur,9,DPR,,,,Partai Kebangkitan Nusantara,9,"2,823",,
2024,Jawa Timur,9,DPR,,,,Partai Hati Nurani Rakyat,10,"5,360",,
2024,Jawa Timur,9,DPR,,,,Partai Garda Republik Indonesia ,11,4190,,
2024,Jawa Timur,9,DPR,,,,Partai Amanat Nasional,12,"77,148",,
2024,Jawa Timur,9,DPR,,,,Partai Bulan Bintang,13,"7,689",,
2024,Jawa Timur,9,DPR,,,,Partai Demokrat ,14,"98,095",,
2024,Jawa Timur,9,DPR,,,,Partai Solidaritas Indonesia ,15,"23,903",,
2024,Jawa Timur,9,DPR,,,,Partai Perindo,16,"5,208",,
2024,Jawa Timur,9,DPR,,,,Partai Persatuan Pembangunan,17,"25,212",,
2024,Jawa Timur,9,DPR,,,,Partai Ummat,24,3000,,
2024,Jawa Timur,10,DPR,"2,006,768","1,528,742","177,072",,,,,
2024,Jawa Timur,10,DPR,,,,Partai Kebangkitan Bangsa,1,"272,154",1,
2024,Jawa Timur,10,DPR,,,,Partai Gerakan Indonesia Raya,2,"158,782",1,
2024,Jawa Timur,10,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"345,576",2,
2024,Jawa Timur,10,DPR,,,,Partai Golongan Karya,4,"241,599",1,
2024,Jawa Timur,10,DPR,,,,Partai Nasdem,5,"162,320",1,
2024,Jawa Timur,10,DPR,,,,Partai Buruh,6,"10,634",,
2024,Jawa Timur,10,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"5,182",,
2024,Jawa Timur,10,DPR,,,,Partai Keadilan Sejahtera,8,"25,024",,
2024,Jawa Timur,10,DPR,,,,Partai Kebangkitan Nusantara,9,767,,
2024,Jawa Timur,10,DPR,,,,Partai Hati Nurani Rakyat,10,"2,237",,
2024,Jawa Timur,10,DPR,,,,Partai Garda Republik Indonesia ,11,"2,246",,
2024,Jawa Timur,10,DPR,,,,Partai Amanat Nasional,12,"90,173",,
2024,Jawa Timur,10,DPR,,,,Partai Bulan Bintang,13,"1,812",,
2024,Jawa Timur,10,DPR,,,,Partai Demokrat ,14,"53,738",,
2024,Jawa Timur,10,DPR,,,,Partai Solidaritas Indonesia ,15,"44,736",,
2024,Jawa Timur,10,DPR,,,,Partai Perindo,16,"11,003",,
2024,Jawa Timur,10,DPR,,,,Partai Persatuan Pembangunan,17,"86,707",,
2024,Jawa Timur,10,DPR,,,,Partai Ummat,24,"14,052",,
2024,Jawa Timur,11,DPR,"3,129,230","2,977,871","28,066",,,,,
2024,Jawa Timur,11,DPR,,,,Partai Kebangkitan Bangsa,1,"316,380",1,
2024,Jawa Timur,11,DPR,,,,Partai Gerakan Indonesia Raya,2,"247,837",1,
2024,Jawa Timur,11,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"659,980",2,
2024,Jawa Timur,11,DPR,,,,Partai Golongan Karya,4,"509,793",1,
2024,Jawa Timur,11,DPR,,,,Partai Nasdem,5,"265,822",1,
2024,Jawa Timur,11,DPR,,,,Partai Buruh,6,935,,
2024,Jawa Timur,11,DPR,,,,Partai Gelombang Rakyat Indonesia,7,941,,
2024,Jawa Timur,11,DPR,,,,Partai Keadilan Sejahtera,8,"17,376",,
2024,Jawa Timur,11,DPR,,,,Partai Kebangkitan Nusantara,9,299,,
2024,Jawa Timur,11,DPR,,,,Partai Hati Nurani Rakyat,10,"1,274",,
2024,Jawa Timur,11,DPR,,,,Partai Garda Republik Indonesia ,11,457,,
2024,Jawa Timur,11,DPR,,,,Partai Amanat Nasional,12,"269,199",1,
2024,Jawa Timur,11,DPR,,,,Partai Bulan Bintang,13,"1,079",,
2024,Jawa Timur,11,DPR,,,,Partai Demokrat ,14,"265,524",1,
2024,Jawa Timur,11,DPR,,,,Partai Solidaritas Indonesia ,15,"11,672",,
2024,Jawa Timur,11,DPR,,,,Partai Perindo,16,287,,
2024,Jawa Timur,11,DPR,,,,Partai Persatuan Pembangunan,17,"408,412",,
2024,Jawa Timur,11,DPR,,,,Partai Ummat,24,604,,
2024,Kalimantan Barat,1,DPR,"2,774,586","2,024,813","206,939",,,,,
2024,Kalimantan Barat,1,DPR,,,,Partai Kebangkitan Bangsa,1,"147,276",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"278,450",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"411,730",2,
2024,Kalimantan Barat,1,DPR,,,,Partai Golongan Karya,4,"306,153",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Nasdem,5,"272,914",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Buruh,6,"8,032",,
2024,Kalimantan Barat,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"11,872",,
2024,Kalimantan Barat,1,DPR,,,,Partai Keadilan Sejahtera,8,"123,834",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Kebangkitan Nusantara,9,"2,695",,
2024,Kalimantan Barat,1,DPR,,,,Partai Hati Nurani Rakyat,10,"63,642",,
2024,Kalimantan Barat,1,DPR,,,,Partai Garda Republik Indonesia ,11,"4,474",,
2024,Kalimantan Barat,1,DPR,,,,Partai Amanat Nasional,12,"114,383",1,
2024,Kalimantan Barat,1,DPR,,,,Partai Bulan Bintang,13,"3,462",,
2024,Kalimantan Barat,1,DPR,,,,Partai Demokrat ,14,"104,992",,
2024,Kalimantan Barat,1,DPR,,,,Partai Solidaritas Indonesia ,15,"45,119",,
2024,Kalimantan Barat,1,DPR,,,,Partai Perindo,16,"38,885",,
2024,Kalimantan Barat,1,DPR,,,,Partai Persatuan Pembangunan,17,"77,723",,
2024,Kalimantan Barat,1,DPR,,,,Partai Ummat,24,"9,177",,
2024,Kalimantan Barat,2,DPR,"1,183,975","981,494","54,773",,,,,
2024,Kalimantan Barat,2,DPR,,,,Partai Kebangkitan Bangsa,1,"27,667",,
2024,Kalimantan Barat,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"66,330",,
2024,Kalimantan Barat,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"323,880",2,
2024,Kalimantan Barat,2,DPR,,,,Partai Golongan Karya,4,"102,923",1,
2024,Kalimantan Barat,2,DPR,,,,Partai Nasdem,5,"241,575",1,
2024,Kalimantan Barat,2,DPR,,,,Partai Buruh,6,"3,318",,
2024,Kalimantan Barat,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"4,352",,
2024,Kalimantan Barat,2,DPR,,,,Partai Keadilan Sejahtera,8,"13,419",,
2024,Kalimantan Barat,2,DPR,,,,Partai Kebangkitan Nusantara,9,"1,286",,
2024,Kalimantan Barat,2,DPR,,,,Partai Hati Nurani Rakyat,10,"15,208",,
2024,Kalimantan Barat,2,DPR,,,,Partai Garda Republik Indonesia ,11,"2,482",,
2024,Kalimantan Barat,2,DPR,,,,Partai Amanat Nasional,12,"75,148",,
2024,Kalimantan Barat,2,DPR,,,,Partai Bulan Bintang,13,"1,244",,
2024,Kalimantan Barat,2,DPR,,,,Partai Demokrat ,14,"29,948",,
2024,Kalimantan Barat,2,DPR,,,,Partai Solidaritas Indonesia ,15,"29,239",,
2024,Kalimantan Barat,2,DPR,,,,Partai Perindo,16,"6,197",,
2024,Kalimantan Barat,2,DPR,,,,Partai Persatuan Pembangunan,17,"36,364",,
2024,Kalimantan Barat,2,DPR,,,,Partai Ummat,24,914,,
2024,Kalimantan Selatan,1,DPR,"1,619,098","1,182,623","184,507",,,,,
2024,Kalimantan Selatan,1,DPR,,,,Partai Kebangkitan Bangsa,1,"78,687",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"112,197",1,
2024,Kalimantan Selatan,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"55,329",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Golongan Karya,4,"333,628",2,
2024,Kalimantan Selatan,1,DPR,,,,Partai Nasdem,5,"168,592",1,
2024,Kalimantan Selatan,1,DPR,,,,Partai Buruh,6,"6,774",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"14,047",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Keadilan Sejahtera,8,"117,223",1,
2024,Kalimantan Selatan,1,DPR,,,,Partai Kebangkitan Nusantara,9,"1,293",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Hati Nurani Rakyat,10,"3,716",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Garda Republik Indonesia ,11,"3,517",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Amanat Nasional,12,"94,602",1,
2024,Kalimantan Selatan,1,DPR,,,,Partai Bulan Bintang,13,"4,100",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Demokrat ,14,"89,979",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Solidaritas Indonesia ,15,"8,756",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Perindo,16,"8,696",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Persatuan Pembangunan,17,"76,902",,
2024,Kalimantan Selatan,1,DPR,,,,Partai Ummat,24,"4,585",,
2024,Kalimantan Selatan,2,DPR,"1,406,122","1,047,193","106,714",,,,,
2024,Kalimantan Selatan,2,DPR,,,,Partai Kebangkitan Bangsa,1,"68,093",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"134,846",1,
2024,Kalimantan Selatan,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"89,875",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Golongan Karya,4,"167,627",1,
2024,Kalimantan Selatan,2,DPR,,,,Partai Nasdem,5,"127,564",1,
2024,Kalimantan Selatan,2,DPR,,,,Partai Buruh,6,"6,476",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"9,372",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Keadilan Sejahtera,8,"52,764",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Kebangkitan Nusantara,9,"1,279",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Hati Nurani Rakyat,10,"5,708",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Garda Republik Indonesia ,11,"3,210",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Amanat Nasional,12,"278,005",2,
2024,Kalimantan Selatan,2,DPR,,,,Partai Bulan Bintang,13,"3,485",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Demokrat ,14,"48,930",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Solidaritas Indonesia ,15,"11,302",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Perindo,16,"6,110",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Persatuan Pembangunan,17,"25,532",,
2024,Kalimantan Selatan,2,DPR,,,,Partai Ummat,24,"7,015",,
2024,Kalimantan Tengah,1,DPR,"1,935,116","1,354,624","190,930",,,,,
2024,Kalimantan Tengah,1,DPR,,,,Partai Kebangkitan Bangsa,1,"111,434",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"177,420",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"295,748",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Golongan Karya,4,"193,871",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Nasdem,5,"134,107",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Buruh,6,"6,427",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"8,095",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Keadilan Sejahtera,8,"29,778",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Kebangkitan Nusantara,9,"3,143",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Hati Nurani Rakyat,10,"13,786",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Garda Republik Indonesia ,11,"4,853",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Amanat Nasional,12,"148,111",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Bulan Bintang,13,"4,042",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Demokrat ,14,"154,407",1,
2024,Kalimantan Tengah,1,DPR,,,,Partai Solidaritas Indonesia ,15,"21,397",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Perindo,16,"27,215",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Persatuan Pembangunan,17,"18,776",,
2024,Kalimantan Tengah,1,DPR,,,,Partai Ummat,24,"2,014",,
2024,Kalimantan Timur,1,DPR,"2,778,916","2,013,936","245,775",,,,,
2024,Kalimantan Timur,1,DPR,,,,Partai Kebangkitan Bangsa,1,"143,852",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"307,259",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"252,714",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Golongan Karya,4,"538,147",2,
2024,Kalimantan Timur,1,DPR,,,,Partai Nasdem,5,"227,803",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Buruh,6,"8,643",,
2024,Kalimantan Timur,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"56,308",,
2024,Kalimantan Timur,1,DPR,,,,Partai Keadilan Sejahtera,8,"145,538",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Kebangkitan Nusantara,9,"3,662",,
2024,Kalimantan Timur,1,DPR,,,,Partai Hati Nurani Rakyat,10,"13,254",,
2024,Kalimantan Timur,1,DPR,,,,Partai Garda Republik Indonesia ,11,"5,158",,
2024,Kalimantan Timur,1,DPR,,,,Partai Amanat Nasional,12,"111,141",1,
2024,Kalimantan Timur,1,DPR,,,,Partai Bulan Bintang,13,"5,789",,
2024,Kalimantan Timur,1,DPR,,,,Partai Demokrat ,14,"110,752",,
2024,Kalimantan Timur,1,DPR,,,,Partai Solidaritas Indonesia ,15,"29,931",,
2024,Kalimantan Timur,1,DPR,,,,Partai Perindo,16,"10,268",,
2024,Kalimantan Timur,1,DPR,,,,Partai Persatuan Pembangunan,17,"38,578",,
2024,Kalimantan Timur,1,DPR,,,,Partai Ummat,24,"5,139",,
2024,Kalimantan Utara,1,DPR,"504,252","379,458","29,595",,,,,
2024,Kalimantan Utara,1,DPR,,,,Partai Kebangkitan Bangsa,1,"7,607",,
2024,Kalimantan Utara,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"126,507",1,
